stop_id,stop_name,grupo_stop_id
B_0900R3-CHUMANIDADES,Coordinación de Humanidades,61
B_0900R3-IFILOLOGICAS,Investigaciones Filológicas,61
B_0900R3-IFILOSOFICAS,Investigaciones Filosóficas,62
B_040L12-CEFIRO1,Cefiro,63
B_0900R3-AVIMAN,Av. Imán,63
B_0900R3-ARCHIVGRAL,Archivo General,64
B_0900R3-DGAPA,DGAPA,65
B_0900R3-UNIVERSUM,Universum,66
B_0900R3-DGIRE,DGIRE,67
B_0900R3-TEATRODANZA,Teatro y Danza,67
B_0900R3-PECONOMIA,Posgrado de Economía,68
B_0900R3-UPOSGRADO,Unidad de Posgrado,69
B_0900R3-ZONACULTURAL,Zona Cultural,70
B_0900R3-MUAC,MUAC,70
B_0900R3-BIBLIOTECNAL2,Biblioteca Nacional 2,70
B_0900R3-BIBLIOTECANAL,Biblioteca Nacional,71
B_0900R3-ESCULTORICO,Espacio Escultórico,72
B_0900R3-IJURIDICAS2,Investigaciones Jurídicas 2,73
B_0900R3-IJURIDICAS,Investigaciones Jurídicas,73
B_0900R3-FCPOLITICAS,Facultad de Ciencias Políticas,74
B_0900R3-TVUNAM,TV UNAM,74
B_0900R3-CUEC,CUEC,75
B_0900R3-DGSA,DGSA,76
B_0900R3-TIENDAUNAM2,Tienda UNAM 2,76
B_0900R3-TIENDAUNAM,Tienda UNAM,77
B_0900R2-FCONTADMIN,Facultad de Contaduría y Administración,78
B_0900R2-DGTIC,DGTIC,78
B_0900R2-EDUCADISTANC,Educación a Distancia,79
B_0900R2-TRABAJOSOCI,Escuela de Trabajo Social,79
B_0900R2-MBCU,Metrobús CU,80
B_0900R2-BASEMBCU,Base Metrobús CU,80
B_0900R2-FCIENCIAS,Facultad de Ciencias ,81
B_0900R2-FCIENCIASALU,Facultad de Ciencias Alumnos,81
B_0900R2-BASEMCU,Base Metro Universidad,82
B_0900R1-QUIMICADE,Química Conjunto D y E,83
B_0900R1-IGEOFISICA,Instituto de Geofísica,84
B_0900R1-FMVETERINARIA,Facultad M. Veterinaria,85
B_0900R1-PSIQUIATRIASM,Psiquiatría y Salud Mental,86
B_0900R1-FMEDICINA,Facultad de Medicina,86
B_0900R1-RECTORIA,Rectoría,87
B_0900R1-CENDI,CENDI,88
B_0900R1-BASEMCU,Base Metro Universidad,89
B_0200L3-UNIVERSIDAD,Universidad,89
B_01023D00-TEXACALCOT,Texacalco - Tecamachalco,90
B_01023D00-TEXACALCO,Texacalco ,90
B_01023D01-TEXATLATUL,Texacalco - Fuente de Templanza Atlatunco,90
B_01023D01-ATLATULTLAX,Fuente de Templanza Atlatunco - Tlaxcatitlán,91
B_01023D01-ATLATULCHAY,Fuente de Templanza Atlatunco - Chayiyicame,92
B_01023D00-ATLATULCO,Fuente de Templanza Atlatunco - Acuezunco,93
B_01023D00-FTESTECAMA,Av. de las Fuentes - Tecamachalco,94
B_01023D00-TRITONJUANA,Fuente de Tritones - Juana de Arco,95
B_01023D01-GTAVFUENTS,Glorieta Av. de las Fuentes,95
B_0100C831-FTEJUANARCO,Av. de las Fuentes - Fuente Juana de Arco,95
B_01023D00-TRITONADAN,Fuente de Tritones - Fuente de Adán,96
B_01023C00-ESIA,ESIA,97
B_01023C00-AGUAESIA,Agua Caliente - ESIA,98
B_01023C01-AGUAESIA,Agua Caliente - ESIA,98
B_01023C01-AGUALEONES,Agua Caliente - Fuente de los Leones,98
B_01023C01-NINOAGUILA,Fuente del Niño - Fuente de las Águilas,99
B_01023C01-TRITONINO,Fuente de Tritones - Fuente del Niño,100
B_01023B01-SRRSTAROSM,Sierra Santa Rosa - Muinura,101
B_01023B01-SANISIDRO,San Isidro,102
B_01023B01-SRRSTAROS4,Sierra Santa Rosa - Calle 4,103
B_01023B01-SRRSTAROS10,Sierra Santa Rosa - Calle 10,104
B_01023B01-SRRSTAROS13,Sierra Santa Rosa - Calle 13,105
B_01023B01-SRRSTAROSA,Sierra Santa Rosa - Calle 16,106
B_01023B00-ONTARIOATTE,Lago Ontario - Lago Atter,107
B_01023B00-ONTARIOLORE,Lago Ontario - San Lorenzo,108
B_01023B00-GOLFONTARI,Golfo del Eden - Lago Ontario,109
B_01023B00-MNALGOLFOE,Av. Marina Nacional - Golfo del Eden,110
B_01023A00-CETRAMTAC2,CETRAM Tacuba 2,111
B_0500181-LGRGLORENZO,Calz. Legaria - Golfo de San Lorenzo,111
B_010C1900-MTROTACUBA,Base Metro Tacuba,111
B_01023A00-CETRAMTACU,CETRAM Tacuba,111
B_01023A01-LERMAFCOME,Acueducto Río Lerma - Narciso Mendoza,112
B_01023A00-PIPILANARCI,Blvd. Pipila - Narciso de Mendoza,112
B_01023A00-PIPILACONSC,Blvd. Pipila - Av. del Conscripto,113
B_01023A00-LERMAMEDIC,Av. Río Lerma - Especialidades Médicas,114
B_01023A00-ESPMEDICAS,Especialidades Médicas,114
B_01023A01-AGUILAVFTES,Fuente de las Águilas - Av. de las Fuentes,115
B_01023A01-TRITONAVFTE,Fuente de Tritones - Av. de las Fuentes,115
B_0100C831-FTEPIRAMIDE,Av. de las Fuentes - Fuente Piramide,115
B_01023A01-TRITONAGUIL,Fuente de Tritones - Fuente de las Águilas,116
B_01023A01-IMLTRTECAMA,Industria Militar - Puente Tecamachalco,117
B_01023A00-IMLTRTECAMA,Industria Militar - Puente Tecamachalco,117
B_0100C831-TECTRITONES,Puente de Tecamachalco - Fuente tritones,117
B_01023A01-IMLTRMEDICS,Industria Militar - Especialidades Médicas,118
B_01023A00-IMLTRMEDICS,Industria Militar - Especialidades Médicas,118
B_01023A01-IMLTRCESAR,Industria Militar - Gral. Cesareo Castro,119
B_01023A00-IMLTRCESAR,Industria Militar - Gral. Cesareo Castro,119
B_01023A01-IMLTRABRAH,Industria Militar - Gral. Abraham Cepeda,120
B_01023A00-IMLTRABRAH,Industria Militar - Gral. Abraham Cepeda,120
B_01023A00-IMLTRILDEFO,Industria Militar - Gral. Ildefonso Vazquez (Velatorio),121
B_01023A01-IMLTRILDEFO,Industria Militar - Gral. Ildefonso Vazquez (Velatorio),121
B_01023A01-IMLTRJCABRL,Industria Militar - Gral. Juan Cabral,122
B_01023A00-IMLTRJCABRL,Industria Militar - Gral. Juan Cabral,122
B_010C1301-PERIFELEGAR,Periférico y Calz. Legaria,123
B_05057A0-AVILINDMILITA,Anillo Periférico Blvd. Manuel Avila Camacho - Av. Industria Militar,123
B_05057A1-AVILEGARIA,Anillo Periférico Blvd. Manuel Avila Camacho - Calz. Legaria,123
B_010C1801-MAVILACLEGA,Blvd. Manuel Avila C. y Calz. Legaria,123
B_010C1800-MAVILACLEG,Blvd. Manuel Avila C. y Legaria,123
B_01023A01-IMLTRAPERIF,Industria Militar - Anillo Periférico,123
B_01023A00-CLEGARIAPER,Calz. Legaria - Anillo Periférico,124
B_010C1200-SOLISLEGARIA,Presa Solis y Legaria,125
B_010C1201-SOLISLEGAR,Presa Solis y Legaria,125
B_01023A01-CLEGARIARDZ,Calz. Legaria - Presa Rodríguez,125
B_01023A00-CLEGARIARDZ,Calz. Legaria - Presa Rodríguez,125
B_01023A01-CLEGARIAPRD,Calz. Legaria - Presa Endo,126
B_010C1200-SOLISALINILL,Presa Solis y Presa Salinillas,126
B_01023A00-CLEGARIAPRE,Calz. Legaria - Presa Salinillas Presa Don Martín,127
B_01023A01-CLEGARIAPRE,Calz. Legaria - Presa Angostura,128
B_01023A00-CLEGARIAMON,Calz. Legaria - Glorieta de la Moneda,128
B_01023A01-CLEGARIARIO,Calz. Legaria - Río San Joaquín,129
B_01023A00-CLEGARIARIO,Calz. Legaria - Río San Joaquín,129
B_01023A01-CLEGARIAGIN,Calz. Legaria - Ginebra,130
B_01023A00-GTAPANTEONF,Glorieta del Panteón Frances,131
B_01023A00-CLEGARIASTA,Calz. Legaria - Glorieta Santa Cruz Cacalco,132
B_01023A01-CLEGARIAC2,Calz. Legaria - Calle 2,132
B_01023A01-CLEGARIATIT,Calz. Legaria - Lago Atitlan,133
B_01023A00-CLEGARIATIT,Calz. Legaria - Lago Atitlan,133
B_01023A01-CLEGARIAGTA,Calz. Legaria - Glorieta Ignacio Allende,134
B_01023A00-CLEGARIAGTA,Calz. Legaria - Glorieta Ignacio Allende,135
B_0500181-FCPLEGARIA,Felipe Carrrilo Puerto - Calz. Legaria,136
B_01023A01-CLEGARIAFPE,Calz. Legaria - Felipe Carrillo Puerto,136
B_010C1100-FCPLEGARIA,Felipe Carrillo Puerto - Calz. de Legaria,136
B_01023A00-CLEGARIAFPE,Calz. Legaria - Felipe Carrillo Puerto,136
B_01023A00-CLEGARIAIZA,Calz. Legaria - Lago Izabal,137
B_0500181-LGRONTARIO,Calz. Legaria - Lago Ontario,137
B_01023A00-CLEGARIASUP,Calz. Legaria - Lago Superior,138
B_0500181-LGRLSUPERIOR,Calz. Legaria - Lago Superior,138
B_0300L7-GTACUI1,Glorieta Cuitláhuac,139
B_0300L7-GTACUI01,Glorieta Cuitláhuac,139
B_0300L5-GANADEROS,Ganaderos,140
B_0300L5-GANADEROS1,Ganaderos,140
B_0300L5-CHURUOTE1,Churubusco Oriente,141
B_0300L5-CHURUOTE,Churubusco Oriente,141
B_0300L5-ACULCO,Aculco,142
B_0300L5-ACULCO1,Aculco,142
B_0300L5-APATLACO,Apatlaco,143
B_0300L5-APATLACO1,Apatlaco,143
B_0300L5-CANALAPATLAC1,Canal de Apatlaco,144
B_0300L5-CANALAPATLACO,Canal de Apatlaco,144
B_0300L5-COLBACH31,Colegio de Bachilleres 3,145
B_0300L5-COLBACH3,Colegio de Bachilleres 3,145
B_0300L5-RECREO1,Recreo,146
B_0300L5-RECREO,Recreo,146
B_0300L4-MOCTEZUMA,Moctezuma,147
B_010C1901-EJ3OUNIDADAN,Eje 3 Oriente Francisco del Paso y Troncoso - Unidad Anaranjada,147
B_0300L5-MOCTEZUMA1,Moctezuma,147
B_0300L5-MOCTEZUMA,Moctezuma,147
B_010Z4F00-EMMBSANLAZ,Eje 3 Ote. Ing Eduardo Molina y MB San Lázaro,148
B_0300L5-SANLAZARO1,San Lázaro Sur,148
B_0300L5-SANLAZARO,San Lázaro Norte,148
B_0300L4-LAZARO1,San Lázaro Oriente,148
B_0300L4-LAZARO0,San Lázaro,148
B_0300L5-RIOCONSULADO1,Río Consulado,149
B_010Z4A00-EDMOOTE830,Eje 3 Ote. Ing Eduardo Molina y Oriente 83,149
B_01020A00-CIRTAVEDUMOL,Circuito Interior - Av Eduardo Molina,149
B_0300L5-RIOCONSULADO,Río Consulado,149
B_010Z4F01-EDMOOTE871,Eje 3 Ote. Ing Eduardo Molina y Oriente 87,150
B_0300L5-RIOSTACOLETA,Río Santa Coleta,150
B_0300L5-RIOSTACOLETA1,Río Santa Coleta,150
B_0100C700-EJ3NTE78A,Eje 3 Norte Ángel Albino Corzo - Norte 78A,151
B_0100C700-EJ3NEJ3OTE,Eje 3 Norte Ángel Albino Corzo - Eje 3 Oriente Ing. Eduardo Molina,151
B_010Z4A00-EDMOOTE950,Eje 3 Ote. Ing Eduardo Molina y Oriente 95,151
B_0100C701-EJ3NEJ3OTE,Eje 3 Norte Angel Álbino Corzo - Eje 3 Oriente Ing. Eduardo Molina,151
B_0400L4-EDOMOLINA0,Eduardo Molina,151
B_0400L4-EDOMOLINA1,Eduardo Molina,151
B_05011A0-EDOMOLINA,Eduardo Molina,151
B_05011A1-AVINGEDOMOLI,Av. Ingeniero Eduardo Molina,151
B_010Z4D01-OTE95E3OTE1,Oriente 95 y Eje 3 Oriente,151
B_0300L5-OTE1011,Oriente 101,151
B_0300L5-OTE101,Oriente 101,151
B_0300L5-VICTORIA,Victoria,152
B_0300L5-VICTORIA1,Victoria,152
B_010Z4A00-VICEJE3INGEDM0,Av. Victoria Ote. y Eje 3 Ote. Ing.  Eduardo Molina,152
B_0300L5-TALISMAN1,Talisman,153
B_010C1501-EJ4NEJ3OTE,Eje 4 Norte Av. Talismán - Eje 3 Oriente Av. Ing. Eduardo Molina,153
B_0300L5-TALISMAN,Talisman,153
B_0300L5-RIOGPE1,Río de Guadalupe,154
B_0300L5-RIOGPE,Río de Guadalupe,154
B_0300L5-SANJUANARAGO,San Juan de Aragón,155
B_0300L5-SANJUANARAGO1,San Juan de Aragón,155
B_0300L5-PREPA3,Preparatoria 3,156
B_0300L5-PREPA31,Preparatoria 3,156
B_0300L5-COYOL,El Coyol,157
B_0300L5-COYOL1,El Coyol,157
B_0300L5-VASCOQUIRO,Vasco de Quiroga,158
B_0300L5-VASCOQUIRO1,Vasco de Quiroga,158
B_0500331-5MAYEDOMOLIN,5 de Mayo - Av. Ing. Eduardo Molina,159
B_0300L5-5MAYO,5 de Mayo,159
B_0300L5-5MAYO1,5 de Mayo,159
B_0300L5-NEWSDIVINE,314 Memorial New's Divine,160
B_0300L5-NEWSDIVINE1,314 Memorial New's Divine,160
B_0100C600-MPOLIBVENAD,Municipio Libre y Parque de los Venados,161
B_0400L3-CUAUHTEMOC0,Cuauhtémoc,161
B_0300L3-STACRUZATOYAC,Pueblo Sta. Cruz Atoyac,161
B_01ITEC10-WMASSCIENBIO,Wilfrido Massieu y Ciencias Biológicas,162
B_0400L8-CDAMSTAMPA,Cerrada Manuel Stampa,162
B_0400L8-ENCBIOLOGICAS,Escuela Nacional de Ciencias Biológicas,163
B_0400L8-ENCBIOLOGICA,Escuela Nacional de Ciencias Biológicas,163
B_05116A0-DTOLEONES,Desierto de los Leones,164
B_05116A1-CENTENARI,Centenario,164
B_05116A1-DSTLEONES,Desierto de los Leones,164
B_0300L7-GARIBALDI1,Garibaldi,165
B_010C1001-MOSQUPREFOR,Mosqueta y Paseo de la Reforma,165
B_010C1150-EJ1NREFORMA,Eje 1 Norte Rayón - Av. Paseo de la Reforma,165
B_0400L5-GARIBALDI1,Garibaldi,165
B_0200L8-GARIBALDI,Garibaldi y Lagunilla,165
B_010C1101-EJ1NPREFORM,Eje 1 Norte Mosqueta - Paseo de la Reforma,165
B_0500181-RFMEJCTRLCAR,Ricardo Flores Magón - Eje Central Lázaro Cardenas,166
B_0100Z120-FLORESMAGO1,Flores Magón ,166
B_05027A0-HEROMOSQUET,Calle Héroes - Mosqueta Eje 1 Norte y Flores Magon,166
B_05027A1-ZARAGRFMAGO,Zaragoza - Av. Ricardo Flores Magon,166
B_010C1151-RFMEJCTRALC,Ricardo Flores Magón - Eje Central Lázaro Cardenas,166
B_0500180-RFMGONEJNTE,Ricardo Flores Magón - Eje Central Norte,166
B_010C1150-RFMEJCTRALC,Ricardo Flores Magón - Eje Central Lázaro Cardenas,166
B_0400L1-FLORESMAG0,Flores Magón,166
B_0400L1-FLORESMAG1,Flores Magón,166
B_010C1151-RFMLERDO,Ricardo Flores Magón - Lerdo,167
B_010C1150-RFMLERDO,Ricardo Flores Magón - Lerdo,167
B_0500181-RFMLERDO,Ricardo Flores Magón - Lerdo,167
B_0500180-RFMGONLERDO,Ricardo Flores Magón - Lerdo,167
B_010C1150-RFMISSSTE,Ricardo Flores Magón - Tienda ISSSTE,168
B_010C1151-RFMZARCO,Ricardo Flores Magón - Zarco,169
B_0500181-RFMZARCO,Ricardo Flores Magón - Zarco,169
B_010C1150-RFMZARCO,Ricardo Flores Magón - Zarco,169
B_0300L3-RFLORESMAGON,Ricardo Flores Magón,170
B_0500180-RFMGONEJGUE,Ricardo Flores Magón - Eje Guerrero,170
B_010C1151-RFMGUERRERO,Ricardo Flores Magón - Guerrero,170
B_010C1150-RFMGUERRERO,Ricardo Flores Magón - Guerrero,170
B_0500180-RFMGONZARAG,Ricardo Flores Magón - Zaragoza,171
B_0100Z120-FLORESMAGO2,Flores Magón ,171
B_0500181-RFMZARAGOZA,Ricardo Flores Magón - Zaragoza,171
B_010C1150-RFMZARAGOZA,Ricardo Flores Magón  - Zaragoza,171
B_0500181-RFMFRESNO,Ricardo Flores Magón - Fresno,172
B_0500180-RFMGONFRESN,Ricardo Flores Magón - Fresno,172
B_010C1151-RFMFRESNO,Ricardo Flores Magón - Fresno,172
B_010C1150-RFMLAUREL,Ricardo Flores Magón - Laurel,172
B_010C1150-RFMSABINO,Ricardo Flores Magón - Sabino,172
B_010C1151-RFMCEDRO,Ricardo Flores Magón - Cedro,173
B_010C1150-RFMFRESNO,Ricardo Flores Magón - Fresno,173
B_010C1150-RFMCEDRO,Ricardo Flores Magón - Cedro,174
B_01020A00-CIRTFLORMAG,Circuito Interior - Flores Magón,175
B_010C1150-RFMNOGAL,Ricardo Flores Magón - Nogal,175
B_0500180-RFMGONRCON,Ricardo Flores Magón  - Río Consulado,175
B_010C1150-MAESGALLOS,Av. de los Maestros - Calz. de los Gallos,176
B_0500180-CGALLAVMAEST,Calz. de los Gallos - Av. de los Maestros,176
B_0500181-CGALLAVMAEST,Calz. de los Gallos - Av. de los Maestros,176
B_010C1151-GAONAMILITAR,Rodolfo Gaona - Av. Ingenieros Militares,177
B_010C1201-GAONAMILITAR,Rodolfo Gaona e Ingenieros Militares,177
B_010C1151-SOTELORNO102,Lomas de Sotelo - Retorno 102,178
B_010C1151-SOTELOJOAQ,Lomas de Sotelo - Av. Río San Joaquín,179
B_010C1151-JOAQMOLIERE,Av. Río San Joaquin - Moliere,180
B_010C1151-JOAQ,Av. Río San Joaquin - Lago Erne,181
B_010C1151-HIELMARJOAQ,Lago Hielmar - Av. Río San Joaquin,182
B_0200L7-SANJOAQUIN,San Joaquín,183
B_010C1151-HIELMARGINEB,Lago Hielmar - Lago Ginebra,183
B_010C1151-CHIEMLGNAUR,Lago Chiem - Lago Naur,184
B_010C1151-FCPLAGOCHIEM,Felipe Carrillo Puerto - Lago Chiem,185
B_010C1151-FCPCJONLUZ,Felipe Carrillo Puerto - Callejón de la Luz,185
B_010C1100-FCPCJONLUZ,Felipe Carrillo Puerto - Callejón de la Luz,185
B_010C1100-FCPLGOCHIEM,Felipe Carrillo Puerto - Lago Chiem,185
B_010C1151-FCPSNJUANICO,Felipe Carrillo Puerto - San Juanico,186
B_010C1151-FCPESPIRIDIN,Felipe Carrillo Puerto - Lago Espiridino,186
B_010C1100-FCPJUANICO,Felipe Carrillo Puerto - Callejón San Juanico,186
B_010C1151-FCPCONSTANZ,Felipe Carrillo Puerto - Lago Constanza,187
B_010C1100-FCPCONSTANZ,Felipe Carrillo Puerto - Lago Constanza,187
B_010C1100-FCPMARINANAL,Felipe Carrillo Puerto - Marina Nacional,187
B_010C1900-MNALFPECPTO,Marina Nacional - Felipe Carrillo Puerto,187
B_0500590-MNALCARRILLO,Marina  Nacional - Carrillo Puerto,187
B_0500590-MNALESPIRIDIN,Marina Nacional - Lago Espiridino,187
B_0500180-RFMGONALLEND,Ricardo Flores Magón - Allende,188
B_010C1151-REFRFLORESM,Av. Paseo de la Reforma - Ricardo Flores Magón,188
B_0500181-RFMPREFORMA,Ricardo Flores Magón - Paseo de la Reforma,188
B_0100C421-NVAVIGA,La Nueva Viga,189
B_05161D0-ABASTOABARR,C. C. Central de Abasto - Abarrotes,189
B_010C1930-CTRALABASTO,Base Central de Abastos,189
B_TRIOX0-TERMCTRALABA,Terminal Central de Abastos,189
B_05161D1-HUALCHURUBU,Hualquila - Canal de Churubusco,190
B_TRIOX0-HUALQUILA,Hualquila,190
B_01022C00-HUALGEREN,Hualquila y Gerentes,190
B_TRIOX0-HUALQUI,Hualquila,190
